state,budget_mdp_2012,budget_mdp_2013,budget_mdp_2014,budget_mdp_2015,budget_mdp_2016,budget_mdp_2017,budget_mdp_2018,budget_mdp_2019,budget_mdp_2020,budget_mdp_2021,budget_mdp_2022,chlorination_efficiency_2012,chlorination_efficiency_2013,chlorination_efficiency_2014,chlorination_efficiency_2015,chlorination_efficiency_2016,chlorination_efficiency_2017,chlorination_efficiency_2018,chlorination_efficiency_2019,chlorination_efficiency_2020,chlorination_efficiency_2021,chlorination_efficiency_2022,mortality_under5_2012,mortality_under5_2013,mortality_under5_2014,mortality_under5_2015,mortality_under5_2016,mortality_under5_2017,mortality_under5_2018,mortality_under5_2019,mortality_under5_2020,mortality_under5_2021,mortality_under5_2022
AGUASCALIENTES,946.13701,677.34936,902.94563,697.59208,656.49562,247.22863,321.41895,251.95127,106.0187,152.91644,207.59124,94.46,96.66,96.48,96.06,97.66,97.66,99.0,85.03,84.05,86.27,87.08,7.08,4.73,2.37,2.37,6.32,2.36,5.54,3.2,1.61,1.62,4.07
BAJA CALIFORNIA,2920.06542,2573.23881,2362.80267,976.26686,732.14079,612.52796,690.93302,531.9064,546.85971,448.40941,611.81853,87.08,91.86,93.54,98.14,100.0,100.0,100.0,97.04,97.93,95.67,95.14,6.37,4.69,3.35,3.67,4.95,2.01,0.67,3.02,2.35,2.02,3.05
BAJA CALIFORNIA SUR,899.3967,1071.41658,847.17053,438.96844,1051.51784,228.71976,179.08917,136.34194,123.80894,158.49722,261.36521,91.41,91.4,95.03,89.88,100.0,100.0,100.0,94.71,98.87,92.19,98.13,4.57,7.48,1.47,0.0,0.0,1.46,1.45,2.88,1.43,2.84,4.24
CAMPECHE,683.92435,668.2377,555.43628,523.6341,518.07017,263.12576,181.26621,137.61537,96.55761,147.83834,1177.18309,96.63,97.78,99.88,99.04,98.95,98.95,100.0,93.32,95.79,90.06,97.35,9.69,6.02,2.4,10.73,2.37,3.36,4.46,0.0,7.81,5.59,6.71
CDMX,21047.34897,20991.38901,21591.86175,15852.2982,14241.52308,14543.51283,14982.79453,12954.84316,12300.75882,12033.67639,13520.13467,91.0,88.74,92.08,97.53,97.45,100.0,97.0,90.75,88.7,88.77,83.38,4.92,6.86,4.43,2.89,3.09,4.22,3.56,1.91,3.49,2.56,1.21
CHIAPAS,1533.07224,1046.43169,1075.72841,1036.60022,1152.7244,453.18298,332.54579,291.92516,586.67087,574.1501,920.94045,73.06,69.83,69.88,66.19,70.03,70.03,69.5,66.62,71.59,73.25,76.99,35.54,32.46,32.95,36.83,37.07,20.54,27.0,34.92,35.93,30.74,45.0
CHIHUAHUA,1471.65875,1614.00771,1114.14465,1031.39116,939.40935,644.28176,647.30961,572.44479,552.15235,480.24243,459.53653,88.69,92.73,96.73,97.69,95.39,100.0,94.91,94.17,93.79,94.77,97.54,9.84,12.24,7.34,9.7,13.76,8.3,6.2,9.06,8.19,6.03,13.12
COAHUILA,1303.11418,1001.06582,1222.78133,857.69982,738.41346,534.74466,404.01207,383.27364,400.10015,419.94633,453.12788,98.86,98.01,99.88,98.39,100.0,97.45,100.0,96.57,98.75,97.83,99.43,3.35,4.1,3.36,0.0,1.49,2.02,2.67,2.32,1.32,1.98,1.98
COLIMA,861.57158,573.83613,495.56463,518.12352,387.2194,225.06117,216.7399,192.77852,138.7875,134.60954,140.12516,96.81,94.82,98.98,97.16,100.0,95.4,99.5,93.88,96.86,98.77,95.51,1.6,6.38,4.77,7.9,6.27,2.97,0.0,7.38,1.48,2.96,2.97
DURANGO,1467.26198,1179.36523,1175.83891,971.37936,1016.1001,401.73924,476.98334,428.68849,255.60723,448.91284,2160.17956,89.25,86.83,89.21,90.28,100.0,100.0,99.83,83.81,84.57,78.89,65.23,4.2,7.83,8.48,6.08,6.09,3.42,0.58,3.56,1.82,0.61,6.2
GUANAJUATO,2352.22467,2818.98909,2600.50976,1202.35475,1207.77338,475.11089,623.21137,604.85656,706.99152,519.71234,593.21261,98.18,98.54,99.71,97.76,100.0,76.08,100.0,97.16,94.93,95.67,95.96,5.82,6.55,4.98,3.57,3.76,2.6,5.58,4.74,2.48,3.22,4.17
GUERRERO,2120.85685,2673.55874,2410.35639,1646.34803,1505.00809,573.76425,692.30967,578.67904,663.52845,397.32459,600.79946,79.03,73.09,76.56,75.34,76.08,100.0,75.91,71.99,74.26,66.35,62.28,12.46,15.87,10.24,10.34,12.95,10.24,7.32,12.03,10.5,9.49,7.82
HIDALGO,1472.35082,2278.58597,2973.54393,2863.14728,2618.51336,2033.24804,2138.21024,3134.02906,2701.99945,2697.37223,2922.35605,90.14,93.5,94.87,95.15,92.5,92.5,91.5,93.13,93.1,93.23,91.69,7.39,3.33,3.34,3.34,2.23,1.12,2.25,3.01,2.64,3.41,4.2
JALISCO,1351.88868,1135.53587,1614.9039,901.04195,831.25352,443.89141,491.95667,478.42559,634.7825,553.12359,1736.38155,77.98,79.21,80.33,84.03,85.57,85.57,85.79,84.54,82.39,82.97,79.37,5.96,4.75,3.67,4.76,3.12,2.03,3.54,3.85,3.61,4.07,4.55
MICHOACÁN,1349.94983,1342.21672,1447.93197,1099.19132,949.18328,500.80198,453.58867,592.79576,592.70413,528.9356,519.58633,72.75,69.19,78.38,80.27,80.56,80.56,80.0,74.05,74.54,74.42,73.5,6.33,8.16,6.61,7.31,6.63,6.46,7.39,8.99,10.65,10.3,10.38
MORELOS,864.57342,609.95855,807.48937,839.16028,595.77084,329.17615,307.18323,285.5538,234.53146,212.50751,232.94524,96.14,95.41,95.22,92.81,100.0,100.0,100.0,85.52,88.8,90.9,88.87,5.29,7.02,5.84,4.08,2.9,2.97,1.18,2.36,4.14,3.56,3.58
MÉXICO,5883.09943,4657.12727,9014.8783,14291.86196,12150.78403,7906.68606,10753.63697,6665.54896,4476.23161,4180.20714,3862.52645,88.24,85.59,86.57,85.32,87.75,90.0,89.54,91.98,89.74,93.2,91.94,8.44,9.41,8.94,6.19,4.35,2.84,1.93,3.23,1.73,1.38,1.91
NAYARIT,674.53247,750.67261,1363.78314,1129.46731,806.76126,681.11294,419.37782,243.44755,950.37109,1296.54588,6632.22071,82.96,79.71,69.31,80.56,80.09,80.09,80.0,85.43,82.51,77.43,76.55,11.5,12.29,14.84,6.92,13.7,8.42,5.93,11.12,6.05,5.24,7.03
